date,value,retrieved_at
1898-01-01,4.88,2026-08-09T06:39:58.075864+00:00
1898-02-01,4.87,2026-08-09T06:39:58.075864+00:00
1898-03-01,4.65,2026-08-09T06:39:58.075864+00:00
1898-04-01,4.57,2026-08-09T06:39:58.075864+00:00
1898-05-01,4.87,2026-08-09T06:39:58.075864+00:00
1898-06-01,5.06,2026-08-09T06:39:58.075864+00:00
1898-07-01,5.08,2026-08-09T06:39:58.075864+00:00
1898-08-01,5.27,2026-08-09T06:39:58.075864+00:00
1898-09-01,5.26,2026-08-09T06:39:58.075864+00:00
1898-10-01,5.15,2026-08-09T06:39:58.075864+00:00
1898-11-01,5.32,2026-08-09T06:39:58.075864+00:00
1898-12-01,5.65,2026-08-09T06:39:58.075864+00:00
1899-01-01,6.08,2026-08-09T06:39:58.075864+00:00
1899-02-01,6.31,2026-08-09T06:39:58.075864+00:00
1899-03-01,6.4,2026-08-09T06:39:58.075864+00:00
1899-04-01,6.48,2026-08-09T06:39:58.075864+00:00
1899-05-01,6.21,2026-08-09T06:39:58.075864+00:00
1899-06-01,6.07,2026-08-09T06:39:58.075864+00:00
1899-07-01,6.28,2026-08-09T06:39:58.075864+00:00
1899-08-01,6.44,2026-08-09T06:39:58.075864+00:00
1899-09-01,6.37,2026-08-09T06:39:58.075864+00:00
1899-10-01,6.34,2026-08-09T06:39:58.075864+00:00
1899-11-01,6.46,2026-08-09T06:39:58.075864+00:00
1899-12-01,6.02,2026-08-09T06:39:58.075864+00:00
1900-01-01,6.1,2026-08-09T06:39:58.075864+00:00
1900-02-01,6.21,2026-08-09T06:39:58.075864+00:00
1900-03-01,6.26,2026-08-09T06:39:58.075864+00:00
1900-04-01,6.34,2026-08-09T06:39:58.075864+00:00
1900-05-01,6.04,2026-08-09T06:39:58.075864+00:00
1900-06-01,5.86,2026-08-09T06:39:58.075864+00:00
1900-07-01,5.86,2026-08-09T06:39:58.075864+00:00
1900-08-01,5.94,2026-08-09T06:39:58.075864+00:00
1900-09-01,5.8,2026-08-09T06:39:58.075864+00:00
1900-10-01,6.01,2026-08-09T06:39:58.075864+00:00
1900-11-01,6.48,2026-08-09T06:39:58.075864+00:00
1900-12-01,6.87,2026-08-09T06:39:58.075864+00:00
1901-01-01,7.07,2026-08-09T06:39:58.075864+00:00
1901-02-01,7.25,2026-08-09T06:39:58.075864+00:00
1901-03-01,7.51,2026-08-09T06:39:58.075864+00:00
1901-04-01,8.14,2026-08-09T06:39:58.075864+00:00
1901-05-01,7.73,2026-08-09T06:39:58.075864+00:00
1901-06-01,8.5,2026-08-09T06:39:58.075864+00:00
1901-07-01,7.93,2026-08-09T06:39:58.075864+00:00
1901-08-01,8.04,2026-08-09T06:39:58.075864+00:00
1901-09-01,8.0,2026-08-09T06:39:58.075864+00:00
1901-10-01,7.91,2026-08-09T06:39:58.075864+00:00
1901-11-01,8.08,2026-08-09T06:39:58.075864+00:00
1901-12-01,7.95,2026-08-09T06:39:58.075864+00:00
1902-01-01,8.12,2026-08-09T06:39:58.075864+00:00
1902-02-01,8.19,2026-08-09T06:39:58.075864+00:00
1902-03-01,8.2,2026-08-09T06:39:58.075864+00:00
1902-04-01,8.48,2026-08-09T06:39:58.075864+00:00
1902-05-01,8.46,2026-08-09T06:39:58.075864+00:00
1902-06-01,8.41,2026-08-09T06:39:58.075864+00:00
1902-07-01,8.6,2026-08-09T06:39:58.075864+00:00
1902-08-01,8.83,2026-08-09T06:39:58.075864+00:00
1902-09-01,8.85,2026-08-09T06:39:58.075864+00:00
1902-10-01,8.57,2026-08-09T06:39:58.075864+00:00
1902-11-01,8.24,2026-08-09T06:39:58.075864+00:00
1902-12-01,8.05,2026-08-09T06:39:58.075864+00:00
1903-01-01,8.46,2026-08-09T06:39:58.075864+00:00
1903-02-01,8.41,2026-08-09T06:39:58.075864+00:00
1903-03-01,8.08,2026-08-09T06:39:58.075864+00:00
1903-04-01,7.75,2026-08-09T06:39:58.075864+00:00
1903-05-01,7.6,2026-08-09T06:39:58.075864+00:00
1903-06-01,7.18,2026-08-09T06:39:58.075864+00:00
1903-07-01,6.85,2026-08-09T06:39:58.075864+00:00
1903-08-01,6.63,2026-08-09T06:39:58.075864+00:00
1903-09-01,6.47,2026-08-09T06:39:58.075864+00:00
1903-10-01,6.26,2026-08-09T06:39:58.075864+00:00
1903-11-01,6.28,2026-08-09T06:39:58.075864+00:00
1903-12-01,6.57,2026-08-09T06:39:58.075864+00:00
1904-01-01,6.68,2026-08-09T06:39:58.075864+00:00
1904-02-01,6.5,2026-08-09T06:39:58.075864+00:00
1904-03-01,6.48,2026-08-09T06:39:58.075864+00:00
1904-04-01,6.64,2026-08-09T06:39:58.075864+00:00
