date,value,retrieved_at
1887-10-01,7.99,2026-08-09T06:38:28.037897+00:00
1887-11-01,8.09,2026-08-09T06:38:28.037897+00:00
1887-12-01,8.28,2026-08-09T06:38:28.037897+00:00
1888-01-01,8.37,2026-08-09T06:38:28.037897+00:00
1888-02-01,8.28,2026-08-09T06:38:28.037897+00:00
1888-03-01,8.28,2026-08-09T06:38:28.037897+00:00
1888-04-01,8.18,2026-08-09T06:38:28.037897+00:00
1888-05-01,8.09,2026-08-09T06:38:28.037897+00:00
1888-06-01,7.99,2026-08-09T06:38:28.037897+00:00
1888-07-01,8.09,2026-08-09T06:38:28.037897+00:00
1888-08-01,8.09,2026-08-09T06:38:28.037897+00:00
1888-09-01,8.09,2026-08-09T06:38:28.037897+00:00
1888-10-01,8.18,2026-08-09T06:38:28.037897+00:00
1888-11-01,8.28,2026-08-09T06:38:28.037897+00:00
1888-12-01,8.28,2026-08-09T06:38:28.037897+00:00
1889-01-01,7.99,2026-08-09T06:38:28.037897+00:00
1889-02-01,7.9,2026-08-09T06:38:28.037897+00:00
1889-03-01,7.8,2026-08-09T06:38:28.037897+00:00
1889-04-01,7.8,2026-08-09T06:38:28.037897+00:00
1889-05-01,7.61,2026-08-09T06:38:28.037897+00:00
1889-06-01,7.61,2026-08-09T06:38:28.037897+00:00
1889-07-01,7.61,2026-08-09T06:38:28.037897+00:00
1889-08-01,7.61,2026-08-09T06:38:28.037897+00:00
1889-09-01,7.71,2026-08-09T06:38:28.037897+00:00
1889-10-01,7.71,2026-08-09T06:38:28.037897+00:00
1889-11-01,7.71,2026-08-09T06:38:28.037897+00:00
1889-12-01,7.8,2026-08-09T06:38:28.037897+00:00
1890-01-01,7.61,2026-08-09T06:38:28.037897+00:00
1890-02-01,7.61,2026-08-09T06:38:28.037897+00:00
1890-03-01,7.61,2026-08-09T06:38:28.037897+00:00
1890-04-01,7.61,2026-08-09T06:38:28.037897+00:00
1890-05-01,7.71,2026-08-09T06:38:28.037897+00:00
1890-06-01,7.71,2026-08-09T06:38:28.037897+00:00
1890-07-01,7.71,2026-08-09T06:38:28.037897+00:00
1890-08-01,7.99,2026-08-09T06:38:28.037897+00:00
1890-09-01,8.09,2026-08-09T06:38:28.037897+00:00
1890-10-01,8.09,2026-08-09T06:38:28.037897+00:00
