date,value,retrieved_at
1897-08-01,19.01,2026-08-09T06:38:28.491494+00:00
1897-09-01,19.37,2026-08-09T06:38:28.491494+00:00
1897-10-01,19.03,2026-08-09T06:38:28.491494+00:00
1897-11-01,18.36,2026-08-09T06:38:28.491494+00:00
1897-12-01,18.75,2026-08-09T06:38:28.491494+00:00
1898-01-01,19.25,2026-08-09T06:38:28.491494+00:00
1898-02-01,18.92,2026-08-09T06:38:28.491494+00:00
1898-03-01,18.04,2026-08-09T06:38:28.491494+00:00
1898-04-01,17.71,2026-08-09T06:38:28.491494+00:00
1898-05-01,17.6,2026-08-09T06:38:28.491494+00:00
1898-06-01,19.54,2026-08-09T06:38:28.491494+00:00
1898-07-01,19.86,2026-08-09T06:38:28.491494+00:00
1898-08-01,20.54,2026-08-09T06:38:28.491494+00:00
1898-09-01,20.44,2026-08-09T06:38:28.491494+00:00
1898-10-01,19.95,2026-08-09T06:38:28.491494+00:00
1898-11-01,20.53,2026-08-09T06:38:28.491494+00:00
1898-12-01,21.4,2026-08-09T06:38:28.491494+00:00
1899-01-01,22.93,2026-08-09T06:38:28.491494+00:00
1899-02-01,23.05,2026-08-09T06:38:28.491494+00:00
1899-03-01,23.28,2026-08-09T06:38:28.491494+00:00
1899-04-01,23.15,2026-08-09T06:38:28.491494+00:00
1899-05-01,22.09,2026-08-09T06:38:28.491494+00:00
1899-06-01,21.21,2026-08-09T06:38:28.491494+00:00
1899-07-01,21.56,2026-08-09T06:38:28.491494+00:00
1899-08-01,21.73,2026-08-09T06:38:28.491494+00:00
1899-09-01,20.59,2026-08-09T06:38:28.491494+00:00
1899-10-01,20.15,2026-08-09T06:38:28.491494+00:00
1899-11-01,20.2,2026-08-09T06:38:28.491494+00:00
1899-12-01,18.51,2026-08-09T06:38:28.491494+00:00
1900-01-01,18.67,2026-08-09T06:38:28.491494+00:00
1900-02-01,18.7,2026-08-09T06:38:28.491494+00:00
1900-03-01,18.78,2026-08-09T06:38:28.491494+00:00
1900-04-01,18.94,2026-08-09T06:38:28.491494+00:00
1900-05-01,18.4,2026-08-09T06:38:28.491494+00:00
1900-06-01,17.99,2026-08-09T06:38:28.491494+00:00
1900-07-01,17.69,2026-08-09T06:38:28.491494+00:00
1900-08-01,18.07,2026-08-09T06:38:28.491494+00:00
1900-09-01,17.34,2026-08-09T06:38:28.491494+00:00
1900-10-01,18.1,2026-08-09T06:38:28.491494+00:00
1900-11-01,19.42,2026-08-09T06:38:28.491494+00:00
1900-12-01,20.74,2026-08-09T06:38:28.491494+00:00
1901-01-01,20.98,2026-08-09T06:38:28.491494+00:00
1901-02-01,21.68,2026-08-09T06:38:28.491494+00:00
1901-03-01,22.35,2026-08-09T06:38:28.491494+00:00
1901-04-01,24.41,2026-08-09T06:38:28.491494+00:00
1901-05-01,23.06,2026-08-09T06:38:28.491494+00:00
1901-06-01,25.24,2026-08-09T06:38:28.491494+00:00
1901-07-01,23.14,2026-08-09T06:38:28.491494+00:00
1901-08-01,23.08,2026-08-09T06:38:28.491494+00:00
1901-09-01,22.59,2026-08-09T06:38:28.491494+00:00
1901-10-01,22.25,2026-08-09T06:38:28.491494+00:00
1901-11-01,22.38,2026-08-09T06:38:28.491494+00:00
1901-12-01,21.68,2026-08-09T06:38:28.491494+00:00
1902-01-01,22.34,2026-08-09T06:38:28.491494+00:00
1902-02-01,22.46,2026-08-09T06:38:28.491494+00:00
1902-03-01,22.41,2026-08-09T06:38:28.491494+00:00
1902-04-01,22.82,2026-08-09T06:38:28.491494+00:00
1902-05-01,22.43,2026-08-09T06:38:28.491494+00:00
1902-06-01,21.96,2026-08-09T06:38:28.491494+00:00
1902-07-01,22.39,2026-08-09T06:38:28.491494+00:00
1902-08-01,23.17,2026-08-09T06:38:28.491494+00:00
1902-09-01,22.86,2026-08-09T06:38:28.491494+00:00
1902-10-01,20.6,2026-08-09T06:38:28.491494+00:00
1902-11-01,20.41,2026-08-09T06:38:28.491494+00:00
1902-12-01,19.63,2026-08-09T06:38:28.491494+00:00
1903-01-01,20.32,2026-08-09T06:38:28.491494+00:00
1903-02-01,20.11,2026-08-09T06:38:28.491494+00:00
1903-03-01,19.88,2026-08-09T06:38:28.491494+00:00
1903-04-01,18.98,2026-08-09T06:38:28.491494+00:00
1903-05-01,18.95,2026-08-09T06:38:28.491494+00:00
1903-06-01,17.82,2026-08-09T06:38:28.491494+00:00
1903-07-01,16.92,2026-08-09T06:38:28.491494+00:00
1903-08-01,16.3,2026-08-09T06:38:28.491494+00:00
1903-09-01,15.65,2026-08-09T06:38:28.491494+00:00
1903-10-01,15.25,2026-08-09T06:38:28.491494+00:00
1903-11-01,15.41,2026-08-09T06:38:28.491494+00:00
1903-12-01,16.04,2026-08-09T06:38:28.491494+00:00
1904-01-01,15.86,2026-08-09T06:38:28.491494+00:00
1904-02-01,15.02,2026-08-09T06:38:28.491494+00:00
1904-03-01,15.08,2026-08-09T06:38:28.491494+00:00
1904-04-01,15.57,2026-08-09T06:38:28.491494+00:00
1904-05-01,15.53,2026-08-09T06:38:28.491494+00:00
1904-06-01,15.47,2026-08-09T06:38:28.491494+00:00
1904-07-01,16.04,2026-08-09T06:38:28.491494+00:00
1904-08-01,16.3,2026-08-09T06:38:28.491494+00:00
1904-09-01,16.74,2026-08-09T06:38:28.491494+00:00
1904-10-01,17.63,2026-08-09T06:38:28.491494+00:00
1904-11-01,18.08,2026-08-09T06:38:28.491494+00:00
1904-12-01,18.16,2026-08-09T06:38:28.491494+00:00
1905-01-01,18.46,2026-08-09T06:38:28.491494+00:00
1905-02-01,19.17,2026-08-09T06:38:28.491494+00:00
1905-03-01,19.83,2026-08-09T06:38:28.491494+00:00
1905-04-01,19.48,2026-08-09T06:38:28.491494+00:00
1905-05-01,18.63,2026-08-09T06:38:28.491494+00:00
1905-06-01,18.74,2026-08-09T06:38:28.491494+00:00
1905-07-01,19.21,2026-08-09T06:38:28.491494+00:00
1905-08-01,19.57,2026-08-09T06:38:28.491494+00:00
1905-09-01,19.74,2026-08-09T06:38:28.491494+00:00
1905-10-01,19.9,2026-08-09T06:38:28.491494+00:00
1905-11-01,19.44,2026-08-09T06:38:28.491494+00:00
1905-12-01,19.58,2026-08-09T06:38:28.491494+00:00
1906-01-01,20.13,2026-08-09T06:38:28.491494+00:00
1906-02-01,19.87,2026-08-09T06:38:28.491494+00:00
1906-03-01,19.26,2026-08-09T06:38:28.491494+00:00
1906-04-01,18.88,2026-08-09T06:38:28.491494+00:00
1906-05-01,18.05,2026-08-09T06:38:28.491494+00:00
1906-06-01,18.17,2026-08-09T06:38:28.491494+00:00
1906-07-01,18.2,2026-08-09T06:38:28.491494+00:00
1906-08-01,18.97,2026-08-09T06:38:28.491494+00:00
1906-09-01,19.2,2026-08-09T06:38:28.491494+00:00
1906-10-01,18.1,2026-08-09T06:38:28.491494+00:00
1906-11-01,18.14,2026-08-09T06:38:28.491494+00:00
1906-12-01,17.66,2026-08-09T06:38:28.491494+00:00
1907-01-01,17.22,2026-08-09T06:38:28.491494+00:00
1907-02-01,16.22,2026-08-09T06:38:28.491494+00:00
1907-03-01,14.69,2026-08-09T06:38:28.491494+00:00
1907-04-01,14.67,2026-08-09T06:38:28.491494+00:00
1907-05-01,13.79,2026-08-09T06:38:28.491494+00:00
1907-06-01,13.14,2026-08-09T06:38:28.491494+00:00
1907-07-01,13.59,2026-08-09T06:38:28.491494+00:00
1907-08-01,12.51,2026-08-09T06:38:28.491494+00:00
1907-09-01,12.33,2026-08-09T06:38:28.491494+00:00
1907-10-01,10.83,2026-08-09T06:38:28.491494+00:00
1907-11-01,10.59,2026-08-09T06:38:28.491494+00:00
1907-12-01,11.33,2026-08-09T06:38:28.491494+00:00
1908-01-01,11.9,2026-08-09T06:38:28.491494+00:00
1908-02-01,11.55,2026-08-09T06:38:28.491494+00:00
1908-03-01,11.98,2026-08-09T06:38:28.491494+00:00
1908-04-01,12.45,2026-08-09T06:38:28.491494+00:00
1908-05-01,13.08,2026-08-09T06:38:28.491494+00:00
1908-06-01,13.05,2026-08-09T06:38:28.491494+00:00
1908-07-01,13.35,2026-08-09T06:38:28.491494+00:00
1908-08-01,13.88,2026-08-09T06:38:28.491494+00:00
1908-09-01,13.7,2026-08-09T06:38:28.491494+00:00
1908-10-01,13.69,2026-08-09T06:38:28.491494+00:00
1908-11-01,14.44,2026-08-09T06:38:28.491494+00:00
1908-12-01,14.58,2026-08-09T06:38:28.491494+00:00
1909-01-01,14.76,2026-08-09T06:38:28.491494+00:00
1909-02-01,14.17,2026-08-09T06:38:28.491494+00:00
1909-03-01,14.34,2026-08-09T06:38:28.491494+00:00
